FID,ID,GRIDCODE,Descriptio,area_ac
67,45260.000000000000000,7.000000000000000,Capitol clay loam,0.0838310
68,45263.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0498924
69,45279.000000000000000,9.000000000000000,Capitol clay loam ( stony bouldery phase ),0.0863356
70,45286.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0033178
71,45291.000000000000000,7.000000000000000,Capitol clay loam,0.0436558
72,45301.000000000000000,7.000000000000000,Capitol clay loam,34.3907013
73,45302.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0512631
74,45314.000000000000000,9.000000000000000,Capitol clay loam ( stony bouldery phase ),0.0124731
75,45315.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.2397990
76,45331.000000000000000,12.000000000000000,Capitol clay loam (very steep shallow phase),0.3843640
77,45336.000000000000000,9.000000000000000,Capitol clay loam ( stony bouldery phase ),0.0062366
78,45349.000000000000000,18.000000000000000,No_Soil,0.0352930
79,45361.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0306638
80,45392.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.4467850
81,45396.000000000000000,31.000000000000000,Woburn clay loam,0.0084172
82,45465.000000000000000,31.000000000000000,Woburn clay loam,0.1272820
83,45472.000000000000000,31.000000000000000,Woburn clay loam,0.0084173
84,45481.000000000000000,31.000000000000000,Woburn clay loam,45.0192986
85,45494.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),12.5711002
86,45502.000000000000000,31.000000000000000,Woburn clay loam,4.5471301
87,45513.000000000000000,31.000000000000000,Woburn clay loam,0.0146374
88,45587.000000000000000,31.000000000000000,Woburn clay loam,0.0789594
89,45594.000000000000000,1.000000000000000,Beach,3.3074801
90,45601.000000000000000,31.000000000000000,Woburn clay loam,0.2620680
91,45608.000000000000000,31.000000000000000,Woburn clay loam,0.3062970
92,45611.000000000000000,31.000000000000000,Woburn clay loam,1.4796700
93,45648.000000000000000,1.000000000000000,Beach,0.8760020
94,45649.000000000000000,31.000000000000000,Woburn clay loam,0.1015090
95,45656.000000000000000,31.000000000000000,Woburn clay loam,0.0609236
96,45662.000000000000000,31.000000000000000,Woburn clay loam,0.1098380
97,45668.000000000000000,31.000000000000000,Woburn clay loam,0.0005759
98,45633.000000000000000,24.000000000000000,Plains Clay Loam,6.5898499
99,45634.000000000000000,18.000000000000000,No_Soil,0.0167593
100,45638.000000000000000,31.000000000000000,Woburn clay loam,0.0371654
101,45673.000000000000000,1.000000000000000,Beach,0.0644995
102,45674.000000000000000,31.000000000000000,Woburn clay loam,0.0299361
103,45702.000000000000000,18.000000000000000,No_Soil,0.0165661
104,45703.000000000000000,31.000000000000000,Woburn clay loam,0.0732919
105,45734.000000000000000,31.000000000000000,Woburn clay loam,1.3592100
106,45718.000000000000000,16.000000000000000,Hope clay,0.0445372
107,45719.000000000000000,31.000000000000000,Woburn clay loam,0.0702039
108,45726.000000000000000,31.000000000000000,Woburn clay loam,0.3973730
109,45735.000000000000000,31.000000000000000,Woburn clay loam,0.4324240
110,45742.000000000000000,15.000000000000000,Hartman clay,0.5984510
111,45761.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0445368
112,45766.000000000000000,18.000000000000000,No_Soil,0.3537470
113,45767.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0192566
114,45771.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0680766
115,45787.000000000000000,31.000000000000000,Woburn clay loam,0.0084174
116,45808.000000000000000,18.000000000000000,No_Soil,0.0062366
117,45809.000000000000000,18.000000000000000,No_Soil,0.0397244
118,45811.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0085151
119,45823.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.2992860
120,45824.000000000000000,18.000000000000000,No_Soil,0.0410978
121,45825.000000000000000,18.000000000000000,No_Soil,0.0219195
122,45830.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0288488
123,45831.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0300318
124,45835.000000000000000,32.000000000000000,Woburn clay loam (stonybouldery phase),0.0062367
125,45836.000000000000000,31.000000000000000,Woburn clay loam,0.1514990
